text,created_at,location,friends_count,sentiment,gender,tweet_classification,age,emotion,sufferingChronic,group,Topic,severity,Remedies,Trying Home remedies with drugs
asleep at am and up am espresso shots anyone insomnia wakeup fridaymorning,2020-07-10 15:57:40+00:00,,1658,neutral,male,Individual,>=40,awe,no,0,3,Severe,Trying Therapies including drugs,No
"and with these fridaythoughts i say goodbye for a couple of days ill see you on monday writingcommunity 
h",2020-07-10 15:30:57+00:00,Desk,240,negative,male,Individual,>=40,sadness,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
cant sleep try a bigger bed sleep insomnia,2020-07-10 15:30:40+00:00,United Kingdom,3908,neutral,female,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
honestly being in the dc discord on the last min of every soba daily voting as been the highlight of my day,2020-07-10 14:56:22+00:00,#Clexakru #Cloneclub,1100,positive,female,Individual,<=18,awe,no,0,4,Mild,Trying Home or Drug remedies,No
news check our latest data release more than assoc curated from gwas and publications late,2020-07-10 14:51:47+00:00,"Hinxton, Cambridge, UK",102,positive,male,Individual,>=40,anger,no,0,3,Severe,Trying Therapies including drugs,No
ukcovidstats go diy grounding matsheetpillow and drink with metal cup connect to earth,2020-07-10 14:12:19+00:00,,0,neutral,male,Individual,>=40,awe,yes,0,0,Moderate,No clarity on remedies - Looking for help,No
havent slept yet its am est right now insomnia be like that yknow i also tried to fix my sleeping schedul,2020-07-10 14:10:15+00:00,,25,positive,male,Individual,19-29,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
online mindfulness therapy for insomnia and sleep anxiety visit,2020-07-10 14:10:00+00:00,"Boulder CO, USA",28700,neutral,male,Individual,>=40,awe,yes,0,3,Severe,Trying Therapies including drugs,No
in other news i was up at am ordering a treadmill insomnia,2020-07-10 14:01:45+00:00,where life + style meet,203,negative,male,Individual,30-39,awe,no,0,3,Severe,Trying Therapies including drugs,No
ive been helping people recover from sleep issues for over years and while most practitioners begin with m,2020-07-10 14:00:48+00:00,"NYC, Long Island, Stamford",12013,positive,male,Individual,>=40,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
