Model,fit_time_cv1,fit_time_cv2,fit_time_cv3,fit_time_cv4,fit_time_cv5,fit_time_mean,fit_time_std,score_time_cv1,score_time_cv2,score_time_cv3,score_time_cv4,score_time_cv5,score_time_mean,score_time_std,test_acc_cv1,test_acc_cv2,test_acc_cv3,test_acc_cv4,test_acc_cv5,test_acc_mean,test_acc_std,test_balanced_accuracy_cv1,test_balanced_accuracy_cv2,test_balanced_accuracy_cv3,test_balanced_accuracy_cv4,test_balanced_accuracy_cv5,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_prec_cv1,test_prec_cv2,test_prec_cv3,test_prec_cv4,test_prec_cv5,test_prec_mean,test_prec_std,test_recall_cv1,test_recall_cv2,test_recall_cv3,test_recall_cv4,test_recall_cv5,test_recall_mean,test_recall_std,test_f1-score_cv1,test_f1-score_cv2,test_f1-score_cv3,test_f1-score_cv4,test_f1-score_cv5,test_f1-score_mean,test_f1-score_std,test_tp_cv1,test_tp_cv2,test_tp_cv3,test_tp_cv4,test_tp_cv5,test_tp_mean,test_tp_std,test_tn_cv1,test_tn_cv2,test_tn_cv3,test_tn_cv4,test_tn_cv5,test_tn_mean,test_tn_std,test_fp_cv1,test_fp_cv2,test_fp_cv3,test_fp_cv4,test_fp_cv5,test_fp_mean,test_fp_std,test_fn_cv1,test_fn_cv2,test_fn_cv3,test_fn_cv4,test_fn_cv5,test_fn_mean,test_fn_std,test_cohens_kappa_cv1,test_cohens_kappa_cv2,test_cohens_kappa_cv3,test_cohens_kappa_cv4,test_cohens_kappa_cv5,test_cohens_kappa_mean,test_cohens_kappa_std,test_matthews_corrcoef_cv1,test_matthews_corrcoef_cv2,test_matthews_corrcoef_cv3,test_matthews_corrcoef_cv4,test_matthews_corrcoef_cv5,test_matthews_corrcoef_mean,test_matthews_corrcoef_std,test_roc_auc_cv1,test_roc_auc_cv2,test_roc_auc_cv3,test_roc_auc_cv4,test_roc_auc_cv5,test_roc_auc_mean,test_roc_auc_std
SVM_WordLevel_TF-IDF,0.08047223091125488,0.07839679718017578,0.07706284523010254,0.07621192932128906,0.07316780090332031,0.07706232070922851,0.002420692683667647,0.020694971084594727,0.02065110206604004,0.020621061325073242,0.02097010612487793,0.02073502540588379,0.020734453201293947,0.00012401338209386015,0.8534031413612565,0.8900523560209425,0.8789473684210526,0.868421052631579,0.8578947368421053,0.8697437310553872,0.013463359182472802,0.7254901960784313,0.7941176470588236,0.77,0.75,0.7352941176470589,0.7549803921568627,0.024654974004766312,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.45098039215686275,0.5882352941176471,0.54,0.5,0.47058823529411764,0.5099607843137255,0.049309948009532596,0.6216216216216216,0.7407407407407407,0.7012987012987013,0.6666666666666666,0.6399999999999999,0.674065546065546,0.0427850356669509,23,30,27,25,24,25.8,2.481934729198171,140,140,140,140,139,139.8,0.4,0,0,0,0,0,0.0,0.0,28,21,23,25,27,24.8,2.5612496949731396,0.5463182897862233,0.676818950930626,0.633696563285834,0.5957446808510638,0.5653279105236402,0.6035812790754775,0.04706265895902565,0.6130391451319013,0.7151985398521516,0.6810313362699216,0.6513389472789296,0.6277314516070074,0.6576678840279822,0.036833672155092256,0.7254901960784313,0.7941176470588236,0.77,0.75,0.7352941176470589,0.7549803921568627,0.024654974004766312
LR_WordLevel_TF-IDF,0.027800798416137695,0.021381855010986328,0.0249178409576416,0.024236202239990234,0.021684885025024414,0.024004316329956053,0.002347706945048629,0.007297039031982422,0.007338047027587891,0.007647037506103516,0.007648944854736328,0.007771968841552734,0.007540607452392578,0.00018812163224455394,0.8429319371727748,0.8586387434554974,0.8421052631578947,0.8263157894736842,0.8105263157894737,0.836103609809865,0.016373622337469456,0.7058823529411764,0.7352941176470589,0.7,0.67,0.6470588235294118,0.6916470588235294,0.03044400384709958,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4117647058823529,0.47058823529411764,0.4,0.34,0.29411764705882354,0.38329411764705884,0.06088800769419917,0.5833333333333334,0.6399999999999999,0.5714285714285715,0.5074626865671642,0.45454545454545453,0.5513540091749047,0.06415936621003836,21,24,20,17,15,19.4,3.1368774282716245,140,140,140,140,139,139.8,0.4,0,0,0,0,0,0.0,0.0,30,27,30,33,36,31.2,3.059411708155671,0.5064599483204134,0.5657994443041172,0.49557522123893805,0.4315503173164098,0.3787465940054495,0.4756263050370656,0.06451083469332883,0.582323231565392,0.6280964157135387,0.5739440431835514,0.5245421896001505,0.4833357480863083,0.5584483256297882,0.04990493004491586,0.7058823529411764,0.7352941176470589,0.7,0.67,0.6470588235294118,0.6916470588235294,0.03044400384709958
NB_N-Gram_TF-IDF,0.002184152603149414,0.0019152164459228516,0.001909017562866211,0.0017619132995605469,0.0019259452819824219,0.001939249038696289,0.0001364508833578194,0.00812387466430664,0.007607936859130859,0.007904767990112305,0.007380008697509766,0.0073587894439697266,0.007675075531005859,0.00029859277089878684,0.837696335078534,0.8167539267015707,0.8263157894736842,0.8105263157894737,0.8263157894736842,0.8235216313033893,0.009286731586064582,0.696078431372549,0.6568627450980392,0.67,0.64,0.6764705882352942,0.6678823529411766,0.01882614360932077,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.39215686274509803,0.3137254901960784,0.34,0.28,0.35294117647058826,0.33576470588235297,0.037652287218641556,0.5633802816901409,0.47761194029850745,0.5074626865671642,0.43750000000000006,0.5217391304347826,0.501538807798119,0.0422870598646481,20,16,17,14,18,17.0,2.0,140,140,140,140,139,139.8,0.4,0,0,0,0,0,0.0,0.0,31,35,33,36,33,33.6,1.7435595774162693,0.486068917628678,0.4012539184952978,0.4315503173164098,0.36431226765799263,0.44385311335816924,0.4254077068913095,0.04092384478437205,0.5666251831271546,0.5009794328681196,0.5245421896001505,0.47193990372426947,0.5340652752185395,0.5196303969076468,0.03182213993684004,0.696078431372549,0.6568627450980392,0.67,0.64,0.6764705882352942,0.6678823529411766,0.01882614360932077
kNN_Count_Vectors,0.0009160041809082031,0.0011126995086669922,0.0009119510650634766,0.0009217262268066406,0.0009748935699462891,0.0009674549102783204,7.611871504058104e-05,0.12323522567749023,0.12279295921325684,0.12379217147827148,0.12204909324645996,0.12173795700073242,0.12272148132324219,0.0007529735157529173,0.8167539267015707,0.8324607329842932,0.8,0.8157894736842105,0.8263157894736842,0.8182639845687516,0.011030465439035866,0.6568627450980392,0.6862745098039216,0.62,0.65,0.6764705882352942,0.6579215686274511,0.023021177753194462,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3137254901960784,0.37254901960784315,0.24,0.3,0.35294117647058826,0.315843137254902,0.04604235550638892,0.47761194029850745,0.5428571428571428,0.3870967741935484,0.4615384615384615,0.5217391304347826,0.4781686898644885,0.054136766675342216,16,19,12,15,18,16.0,2.449489742783178,140,140,140,140,139,139.8,0.4,0,0,0,0,0,0.0,0.0,35,32,38,35,33,34.6,2.0591260281974,0.4012539184952978,0.4653603918824353,0.3175803402646503,0.3870967741935484,0.44385311335816924,0.4030289076388202,0.051205997362620305,0.5009794328681196,0.5506701136791492,0.4344698435378688,0.48989794855663565,0.5340652752185395,0.5020165227720625,0.04026110707265868,0.6568627450980392,0.6862745098039216,0.62,0.65,0.6764705882352942,0.6579215686274511,0.023021177753194462
LR_N-Gram_TF-IDF,0.04716897010803223,0.0501859188079834,0.035359859466552734,0.038678884506225586,0.04069924354553223,0.04241857528686523,0.0054711010616787705,0.007494926452636719,0.006967067718505859,0.007767200469970703,0.0075452327728271484,0.007176876068115234,0.007390260696411133,0.00028343611415181986,0.7853403141361257,0.7905759162303665,0.7736842105263158,0.7842105263157895,0.7631578947368421,0.7793937723890879,0.009795975069692842,0.5980392156862745,0.607843137254902,0.5700000000000001,0.59,0.5588235294117647,0.5849411764705883,0.018038959929985776,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19607843137254902,0.21568627450980393,0.14,0.18,0.11764705882352941,0.16988235294117646,0.03607791985997155,0.3278688524590164,0.3548387096774193,0.24561403508771928,0.3050847457627119,0.21052631578947367,0.28878653175526814,0.053187358744733494,10,11,7,9,6,8.6,1.8547236990991407,140,140,140,140,139,139.8,0.4,0,0,0,0,0,0.0,0.0,41,40,43,41,45,42.0,1.7888543819998317,0.263380679145894,0.2873134328358209,0.19348469891411646,0.24442289039767207,0.16324133881385794,0.23036860802147227,0.04559939865498646,0.3894391802256025,0.4095802623240078,0.32726720754852906,0.3731307000730663,0.2981185675312851,0.35950718354049815,0.04098003434507876,0.5980392156862745,0.607843137254902,0.5700000000000001,0.59,0.5588235294117647,0.5849411764705883,0.018038959929985776
RF_Words,0.36076903343200684,0.35660815238952637,0.35654401779174805,0.3542180061340332,0.361497163772583,0.3579272747039795,0.002765207309413531,0.11315679550170898,0.11252975463867188,0.11253023147583008,0.11019420623779297,0.11307382583618164,0.1122969627380371,0.00108379148613504,0.9685863874345549,0.9528795811518325,0.968421052631579,0.9578947368421052,0.9578947368421052,0.9611352989804354,0.006289042665247795,0.9411764705882353,0.9117647058823529,0.94,0.9199999999999999,0.9277754267174496,0.9281433206376075,0.011359153853897299,1.0,1.0,1.0,1.0,0.9777777777777777,0.9955555555555555,0.008888888888888901,0.8823529411764706,0.8235294117647058,0.88,0.84,0.8627450980392157,0.8577254901960785,0.022853561536317967,0.9375,0.9032258064516129,0.9361702127659575,0.9130434782608696,0.9166666666666665,0.9213212328290213,0.013415478932716293,45,42,44,42,44,43.4,1.2,140,140,140,140,138,139.6,0.8,0,0,0,0,1,0.2,0.4,6,9,6,8,7,7.2,1.16619037896906,0.9166302924487124,0.8724682839973292,0.9153046062407132,0.8855421686746988,0.8886446886446886,0.8957180080012284,0.017407398946332576,0.9198325181260418,0.8796510810980139,0.9186052560476433,0.8914003559538187,0.89176014558515,0.9002498713621335,0.016094096609059003,0.9411764705882353,0.9117647058823529,0.94,0.9199999999999999,0.9277754267174496,0.9281433206376075,0.011359153853897299
NB_WordLevel_TF-IDF,0.0020117759704589844,0.002105236053466797,0.0020380020141601562,0.0020568370819091797,0.0015659332275390625,0.001955556869506836,0.00019719326109387723,0.008275985717773438,0.007672786712646484,0.007819890975952148,0.0074920654296875,0.0077898502349853516,0.007810115814208984,0.00025982930695583775,0.8219895287958116,0.837696335078534,0.8421052631578947,0.8105263157894737,0.8105263157894737,0.8245687517222375,0.013273244387603243,0.6666666666666666,0.7023109243697478,0.7,0.64,0.6470588235294118,0.6712072829131653,0.025977362693049653,1.0,0.9545454545454546,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,0.3333333333333333,0.4117647058823529,0.4,0.28,0.29411764705882354,0.34384313725490195,0.05371398187891803,0.5,0.5753424657534247,0.5714285714285715,0.43750000000000006,0.45454545454545453,0.5077632983454902,0.057357736459184655,17,21,20,14,15,17.4,2.727636339397171,140,139,140,140,139,139.6,0.4898979485566356,0,1,0,0,0,0.2,0.4000000000000001,34,30,30,36,36,33.2,2.7129319932501073,0.42296072507552873,0.4938883665270536,0.49557522123893805,0.36431226765799263,0.3787465940054495,0.43109663490099254,0.0554385446692825,0.5178795552215545,0.5607170256399362,0.5739440431835514,0.47193990372426947,0.4833357480863083,0.521563255171124,0.04053184833383107,0.6666666666666666,0.7023109243697478,0.7,0.64,0.6470588235294118,0.6712072829131653,0.025977362693049653
LR_CharLevel_TF-IDF,0.030685901641845703,0.027062177658081055,0.03376007080078125,0.028146028518676758,0.03387594223022461,0.030706024169921874,0.0028002564662859557,0.007850170135498047,0.0075948238372802734,0.007447004318237305,0.006890058517456055,0.00701904296875,0.007360219955444336,0.0003577918948085804,0.900523560209424,0.8848167539267016,0.8894736842105263,0.8789473684210526,0.8578947368421053,0.8823312207219619,0.014119108164677225,0.8137254901960784,0.790546218487395,0.79,0.7764285714285715,0.7352941176470589,0.7811988795518208,0.025895234586489516,1.0,0.967741935483871,1.0,0.9655172413793104,1.0,0.9866518353726363,0.016363226294490118,0.6274509803921569,0.5882352941176471,0.58,0.56,0.47058823529411764,0.5652549019607844,0.05215987017718882,0.7710843373493976,0.7317073170731707,0.7341772151898733,0.7088607594936709,0.6399999999999999,0.7171659258212225,0.04343175571588739,32,30,29,28,24,28.6,2.65329983228432,140,139,140,139,139,139.4,0.4898979485566356,0,1,0,1,0,0.4,0.48989794855663565,19,21,21,22,27,22.0,2.6832815729997477,0.7117324648502661,0.66384,0.6705202312138729,0.6391412056151942,0.5653279105236402,0.6501123624405947,0.048395734792962976,0.7432849799044675,0.6971937587931216,0.7101745039685363,0.6769397365414374,0.6277314516070074,0.6910648861629142,0.038315329953550734,0.8137254901960784,0.790546218487395,0.79,0.7764285714285715,0.7352941176470589,0.7811988795518208,0.025895234586489516
RF_WordLevel_TF-IDF,0.3665180206298828,0.45351624488830566,0.34628820419311523,0.37239885330200195,0.35376596450805664,0.37849745750427244,0.03862020478013648,0.10960698127746582,0.11164069175720215,0.11572384834289551,0.11366915702819824,0.1119539737701416,0.11251893043518066,0.002057398703045271,0.9109947643979057,0.9214659685863874,0.9105263157894737,0.8842105263157894,0.868421052631579,0.899123725544227,0.019673200487615793,0.8333333333333333,0.8591736694677872,0.8300000000000001,0.78,0.767315559317252,0.8139645124236745,0.03465795405381947,1.0,0.9736842105263158,1.0,1.0,0.9333333333333333,0.9814035087719299,0.026106772263492308,0.6666666666666666,0.7254901960784313,0.66,0.56,0.5490196078431373,0.632235294117647,0.067521349522146,0.8,0.8314606741573034,0.7951807228915663,0.717948717948718,0.6913580246913581,0.7671896279377892,0.05322760291652999,34,37,33,28,28,32.0,3.521363372331802,140,139,140,140,137,139.2,1.1661903789690602,0,1,0,0,2,0.6,0.7999999999999999,17,14,17,22,23,18.6,3.3823069050575527,0.7456724367509987,0.7816810180598949,0.7409783480352847,0.6522462562396006,0.6147607461476075,0.7070677610466772,0.06282255869854017,0.7710251812675252,0.7960605080910848,0.767160369054042,0.6956655929999346,0.6497198017262215,0.7359262906277616,0.05454558899016131,0.8333333333333333,0.8591736694677872,0.8300000000000001,0.78,0.767315559317252,0.8139645124236745,0.03465795405381947
NB_CharLevel_TF-IDF,0.003422975540161133,0.004153251647949219,0.0041658878326416016,0.0038208961486816406,0.003720998764038086,0.003856801986694336,0.00027976904475724785,0.007636070251464844,0.009851932525634766,0.009994268417358398,0.009942054748535156,0.010682106018066406,0.009621286392211914,0.0010355314550938909,0.7486910994764397,0.7696335078534031,0.7578947368421053,0.7684210526315789,0.7526315789473684,0.7594543951501791,0.008352809952935542,0.5294117647058824,0.574859943977591,0.54,0.56,0.5392156862745098,0.5486974789915966,0.016429917009760278,1.0,0.8888888888888888,1.0,1.0,1.0,0.9777777777777779,0.04444444444444447,0.058823529411764705,0.1568627450980392,0.08,0.12,0.0784313725490196,0.09882352941176471,0.03517714822177222,0.1111111111111111,0.26666666666666666,0.14814814814814814,0.21428571428571425,0.14545454545454545,0.17713323713323711,0.0558554161689116,3,8,4,6,4,5.0,1.7888543819998317,140,139,140,140,139,139.6,0.4898979485566356,0,1,0,0,0,0.2,0.4000000000000001,48,43,46,44,47,45.6,1.8547236990991407,0.0839328537170263,0.2028078163536331,0.11359026369168357,0.16733067729083662,0.11073491336387176,0.13567930488341026,0.04311818652226972,0.20929585744808987,0.3125875313056672,0.24538755828982214,0.30216609311120096,0.2421005832062027,0.26230752467219653,0.039042610447404404,0.5294117647058824,0.574859943977591,0.54,0.56,0.5392156862745098,0.5486974789915966,0.016429917009760278
